requirement_id,title,category,implementation_area,verification_test,validation_evidence,acceptance_criterion,status
REQ-QA-RTM,Requirements traceability matrix,qa,qa/requirements.yaml; qa/requirements_traceability_matrix.csv; src/thorium_reactor/qa.py,tests/test_qa.py::test_requirements_traceability_artifacts_validate,qa/requirements_traceability_matrix.csv,Every matrix row links to a known requirement ID.,implemented
REQ-BENCH-SOURCE-TRACEABILITY,Benchmark source traceability,benchmark,src/thorium_reactor/benchmarking.py; benchmarks/msre_first_criticality/benchmark.yaml; benchmarks/tmsr_lf1/benchmark.yaml; src/thorium_reactor/reporting/reports.py,tests/test_benchmarking.py::test_structured_benchmark_metadata_has_traceability_summary,benchmarks/README.md,"Reports surface traceability score, evidence records, assumption links, and validation gaps.",implemented
REQ-MSRE-GEOMETRY,MSRE benchmark geometry reconstruction,msre_benchmark,configs/cases/msre_first_criticality/case.yaml; benchmarks/msre_first_criticality/parameters.yaml; src/thorium_reactor/benchmarking.py,tests/test_benchmarking.py::test_msre_first_criticality_quality_gates_block_illustrative_harness,benchmarks/msre_first_criticality/source_index.yaml,Benchmark-ready status remains blocked while geometry_fidelity is not benchmark_reconstruction.,blocked
REQ-MSRE-MATERIALS,MSRE source-indexed materials,msre_benchmark,configs/cases/msre_first_criticality/case.yaml; benchmarks/msre_first_criticality/parameters.yaml; src/thorium_reactor/benchmarking.py,tests/test_benchmarking.py::test_msre_first_criticality_quality_gates_block_illustrative_harness,benchmarks/msre_first_criticality/parameters.yaml,Benchmark-ready status remains blocked while material_fidelity is not source_indexed_isotopic.,blocked
REQ-MSRE-SOLVER-BUNDLE,MSRE solver-backed evidence bundle,msre_benchmark,src/thorium_reactor/neutronics/workflows.py; src/thorium_reactor/benchmarking.py,tests/test_benchmarking.py::test_build_docker_openmc_command_targets_repo_compose_runtime,results/README.md,Benchmark-ready status remains blocked until solver_statistics is published_solver_bundle.,blocked
REQ-BENCH-QUALITY-GATES,Benchmark quality gates,benchmark,src/thorium_reactor/benchmarking.py; src/thorium_reactor/neutronics/workflows.py,tests/test_config_and_build.py::test_msre_benchmark_case_uses_historic_mode_and_resolves_benchmark,benchmarks/msre_first_criticality/benchmark.yaml,Generated manifests and reports list failed benchmark quality gates.,active
REQ-VALIDATION-RESIDUALS,Validation residual evaluation,validation,src/thorium_reactor/benchmarking.py; src/thorium_reactor/neutronics/workflows.py,tests/test_benchmarking.py::test_msre_keff_residuals_are_uncertainty_aware,configs/cases/msre_first_criticality/case.yaml,"Validation residuals include pass, fail, or pending status with reviewer-readable messages.",implemented
REQ-REPORTING-EVIDENCE,Evidence-rich generated reports,reporting,src/thorium_reactor/reporting/reports.py; src/thorium_reactor/reporting/plots.py,tests/test_reporting.py::test_report_surfaces_model_validity_and_validation_maturity,docs/msre-first-criticality-validation-plan.md,Reports expose source evidence and validation gaps without promoting surrogate results.,implemented
REQ-RESULT-BUNDLE-PROVENANCE,Reproducible result bundle provenance,workflow,src/thorium_reactor/paths.py; src/thorium_reactor/bundle_inputs.py; src/thorium_reactor/runtime_context.py,tests/test_bundle_snapshots.py::test_validation_prefers_bundled_benchmark_snapshot_after_repo_benchmark_changes,results/README.md,Workflow commands write isolated results under results/<case>/<run_id>.,implemented
REQ-WEB-JOB-ALLOWLIST,Browser job safety allowlist,web,src/thorium_reactor/web/jobs.py; src/thorium_reactor/web/permissions.py; web/README.md,tests/test_web_backend.py::test_web_draft_validation_does_not_modify_source_case,web/README.md,Browser-launched simulations do not mutate canonical case YAML.,active
REQ-EXTERNAL-HANDOFF-EXPORTS,External-code handoff exports,integrations,src/thorium_reactor/integrations.py; configs/cases/README.md,tests/test_cli.py::test_cli_registers_external_integration_commands,docs/current-model-equations.md,"Handoff artifacts identify tool, input kind, runtime context, and export-only or executed status.",active
